"1","转发微博","2013-08-21 22:07:52",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"2","转发微博","2013-08-21 21:23:40",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"3","扯淡的民国书读的太多了","2013-08-21 21:22:39",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"4","中国人民的老朋友，又回来了[衰]","2013-08-21 21:01:33",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"5","987万和杜大师争相撇清关系。[哈哈]//@薛蛮子: @杜子建 你在2005年曾雇用过秦火火，当年便解雇了他；我2010年投资你，秦火火跟我有一毛钱关系吗?","2013-08-21 20:58:11",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"6","t 我在:http://t.cn/zQWDBSn","2013-08-21 15:46:52",29.868749,121.61016,"蒋波涛_浩淼GIS","浙江 宁波"
"7","//@浙江省地理学会:中国人口占世界人口的五分之一的一种形象表达","2013-08-21 08:50:55",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"8","造谣需要付出代价//@头条新闻:转发微博","2013-08-21 08:49:05",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"9","不明觉厉","2013-08-20 21:00:36",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"10","[good]","2013-08-20 16:21:17",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"11","《智慧城市时空信息云平台建设思路探讨》（《浙江测绘》2013年第二期），作为上半年智慧城市工作的一个小结。http://t.cn/zQgSFYe。@杨震澎-南人 @风吹白桦林_ @黄鸿_黔人小筑","2013-08-20 15:22:39",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"12","收到徐局签名诗集，全书充满了乐观主义，英雄主义的“正能量”。谢谢@天地日月_g7i","2013-08-20 12:27:19",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"13","《生出来，活下去》（3S新闻周刊2013.8）http://t.cn/zQEGkOq","2013-08-20 10:41:15",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
"14","转发微博","2013-08-19 14:18:45",NA,NA,"蒋波涛_浩淼GIS","浙江 宁波"
