"uid","score"
1,0.933545030653477
2,0.806684270501137
9,0.777184620499611
12,0.94216226786375
14,0.53212496638298
20,0.898236364126205
25,0.913351126015186
28,0.86433906853199
30,0.8831702247262
33,0.900457046926022
35,0.809241712093353
37,0.946514170616865
43,0.855457469820976
44,0.940654084086418
45,0.970883393660188
46,0.917450673878193
52,0.660582661628723
53,0.907991603016853
55,0.481559455394745
56,0.917346306145191
57,0.91948289424181
59,0.830805942416191
60,0.79055979847908
66,0.830070242285728
74,0.808615297079086
75,0.782278567552567
83,0.89906569570303
84,0.799926936626434
87,0.879450686275959
88,0.925183139741421
95,0.700445592403412
100,0.947891045361757
101,0.624413430690765
105,0.241151869297028
111,0.796373680233955
114,0.84454844892025
116,0.828605324029922
118,0.834430202841759
119,0.931775890290737
123,0.741543859243393
129,0.903204679489136
131,0.556160748004913
132,0.572487384080887
137,0.88538770377636
143,0.685113936662674
147,0.958720795810223
148,0.721242815256119
149,0.731620222330093
156,0.763214945793152
161,0.667991012334824
162,0.597715616226196
170,0.645141631364822
179,0.937567178159952
184,0.881420016288757
187,0.593779444694519
191,0.481132984161377
198,0.779401302337646
206,0.780594155192375
212,0.324829041957855
221,0.679152578115463
222,0.978513654321432
225,0.823203980922699
226,0.831030294299126
228,0.820408493280411
232,0.906255401670933
236,0.812868565320969
237,0.961058814078569
242,0.498664915561676
247,0.939440101385117
252,0.763964161276817
253,0.911646358668804
255,0.915777131915092
258,0.725872695446014
261,0.632831424474716
264,0.951442755758762
268,0.499864280223846
275,0.95292180031538
292,0.569057047367096
293,0.919302642345428
295,0.830516755580902
305,0.901230596005917
325,0.923695974051952
328,0.9597502425313
330,0.817335829138756
334,0.83286090195179
335,0.775560930371284
350,0.815301507711411
351,0.544972985982895
354,0.683798462152481
357,0.836568519473076
360,0.895752996206284
361,0.942145895212889
365,0.446826636791229
368,0.583989828824997
369,0.804855227470398
370,0.897784858942032
374,0.813457876443863
375,0.719038397073746
377,0.915005311369896
389,0.837140798568726
390,0.738258391618729
399,0.773511275649071
401,0.925823837518692
402,0.646098732948303
403,0.947217017412186
404,0.658974170684814
405,0.785234346985817
415,0.845287978649139
416,0.638179779052734
417,0.695147007703781
425,0.917043477296829
430,0.986187602393329
436,0.871419161558151
442,0.848890945315361
445,0.934692293405533
446,0.701583653688431
